period,"Monthly – Colombia – Commodity Net Export Price Index, Individual Commodities Weighted by Ratio of Net Exports to Total Commodity Trade – Recent, monthly, rolling weights (IMF/PCTOT/M.CO.xm.R_RW_IX)"
2021-02,85.3078231811523
2021-03,86.6625823974609
2021-04,86.0670700073242
2021-05,88.0931930541992
2021-06,93.6184158325195
2021-07,95.9964218139648
2021-08,95.3417663574219
2021-09,98.5583801269531
2021-10,105.797416687012
2021-11,100.29175567627
2021-12,96.7565536499023
2022-01,103.866310119629
2022-02,108.826194763184
2022-03,118.369781494141
2022-04,114.712448120117
2022-05,119.795532226563
2022-06,122.143898010254
2022-07,117.394233703613
2022-08,115.625015258789
2022-09,112.439895629883
2022-10,111.194313049316
2022-11,107.089385986328
2022-12,105.33757019043
2023-01,106.073440551758
2023-02,100.136253356934
2023-03,96.2526168823242
2023-04,99.6659088134766
2023-05,94.9498672485352
2023-06,91.8198471069336
2023-07,94.3590393066406
2023-08,98.1488037109375
2023-09,102.830528259277
2023-10,99.9473724365234
2023-11,95.7617874145508
2023-12,95.1926879882813
2024-01,95.5398941040039
2024-02,96.0431747436523
2024-03,98.9036865234375
2024-04,101.492736816406
2024-05,98.9746932983398
2024-06,98.7572021484375
2024-07,99.7404861450195
2024-08,98.5673446655273
2024-09,95.6497573852539
2024-10,96.8207092285156
2024-11,95.5833892822266
2024-12,94.9933395385742
2025-01,96.7160034179688
2025-02,94.6035690307617
2025-03,92.140869140625
